label,question_id,question_type,query_type,question,gold_answer,n_evidence
Q11,mh-inf-010-india,inference_query,hybrid,"Which team, with a chance to win their third ODI World Cup according to Zee Business, faced a 162-run defeat in their first World Cup encounter against Australia and also played against them in the second semi-final of the 2015 World Cup?","India",3
Q12,mh-inf-011-apple,inference_query,hybrid,"Which company, known for not allowing users to select their preferred browser during iPhone setup as mentioned by TechCrunch, is also involved in an 18-month appeal process over a patent dispute reported by The Verge and is identified by The Verge as enforcing uniform terms on developers, OEMs, and carriers through its store and payment system?","Apple",3
Q13,mh-inf-012-valve,inference_query,hybrid,"Which company, covered by both Engadget and Polygon, is set to release an upgraded version of its product with an improved screen, enhanced battery life, and several minor physical upgrades, with availability starting on November 16th?","Valve",3
Q14,mh-inf-013-apple,inference_query,hybrid,"Which company, defended in court for being the only viable option for search engine services according to Eddy Cue, also held an annual hardware event showcasing new developments and is accused of harming news publishers' revenue through anticompetitive practices, as reported by The Verge and TechCrunch?","Apple",3
Q15,mh-inf-014-apple,inference_query,hybrid,"What company, known for its upcoming 'Scary Fast event' focusing on Macs and new chipsets as reported by Engadget, is also involved in an 18-month appeal process against a patent dispute decision by the ITC and enforces uniform terms on developers, OEMs, and carriers through its store and payment system as covered by The Verge?","Apple",3
Q16,mh-inf-015-valve,inference_query,hybrid,"Which company, covered by The Verge for exclusively focusing on games for their store, by Polygon for making around 300 updates to a specific hardware since its launch, and by Engadget for announcing the immediate availability of a new OLED product starting November 16th at 1pm ET, is responsible for these developments?","Valve",3
Q17,mh-inf-016-apple,inference_query,hybrid,"Which company, recently noted by TechCrunch for its increased responsiveness to consumer feedback and for not allowing users to choose their browser during iPhone setup, is also mentioned by The Verge for enforcing uniform terms on developers, OEMs, and carriers through its store and payment system?","Apple",3
Q18,mh-inf-017-apple,inference_query,hybrid,"Which company, covered by both The Verge and Engadget, is known for its privacy stance in a legal context, plans to focus on Macs and new chipsets at an upcoming event, and enforces uniform terms through its store and payment system?","Apple",3
Q19,mh-inf-018-google,inference_query,hybrid,"Which company, as reported by both TechCrunch and The Verge, has spent billions to maintain its default search engine status on various platforms and is also accused of harming news publishers’ revenue through its business practices?","Google",3
Q20,mh-inf-019-google,inference_query,hybrid,"Which company, according to articles from TechCrunch and The Verge, not only spent billions to maintain its default search engine status across various devices and platforms but was also considered by a major tech competitor as the only valid option for such services at the time of their deal, and is simultaneously facing a class action lawsuit for allegedly harming news publishers' revenues through its business practices?","Google",3
Q21,mh-inf-020-google,inference_query,hybrid,"Which company, according to articles from TechCrunch and The Age, not only invested billions to secure its position as the default search engine but is also accused of manipulating search results for ad revenue maximization and harming news publishers' revenues through anticompetitive practices?","Google",3
Q22,mh-inf-021-google,inference_query,hybrid,"Which company, according to articles from TechCrunch and The Age, has not only invested billions to remain the default search engine on various devices but is also accused of manipulating search results for ad revenue and harming news publishers' revenues through anticompetitive practices?","Google",3
Q23,mh-inf-022-google,inference_query,hybrid,"Which company, often covered by The Verge and TechCrunch, has been reported to make deals with major tech companies to maintain its default search engine status, influences local search rankings with specific criteria, and faces a class action antitrust suit for its impact on news publishers' content and revenue?","Google",3
Q24,mh-inf-023-google,inference_query,hybrid,"What company, featured in articles from both The Verge and TechCrunch, is responsible for ranking local search results, recently showcased new hardware developments at an annual event, and has been accused in a class action antitrust suit of harming news publishers' bottom lines?","Google",3
Q25,mh-inf-024-google,inference_query,hybrid,"Which company, reported by The Verge and TechCrunch, was described as having no valid alternatives for search engine services at the time of a certain negotiation and has also been associated with spending billions to maintain its default status across platforms and with practices that harm news publishers' revenues?","Google",3
Q26,mh-inf-025-google,inference_query,hybrid,"Which company is at the center of legal scrutiny for potentially anticompetitive practices in phone app markets according to The Verge, is involved with the release of a ""lite"" version of an AI model as reported by TechCrunch, and is accused by news publishers of harming their business by diverting content, readers, and advertising revenue as per another TechCrunch article?","Google",3
Q27,mh-inf-026-google,inference_query,hybrid,"Which company, covered by both TechCrunch and The Verge, is not only claimed to have developed an AI model with superior architecture that rivals GPT-4 but also has been accused of altering the internet's appearance and harming news publishers' bottom lines through anticompetitive practices?","Google",3
Q28,mh-inf-027-google,inference_query,hybrid,"Which company is at the center of concerns from a news publisher according to TechCrunch for anticompetitive practices that affect their bottom line, is capable of addressing Android app distribution and in-app payment issues as mentioned by The Verge, and is also suspected of foul play by individuals as suggested by The Age?","Google",3
Q29,mh-inf-028-openai,inference_query,hybrid,"What is the name of the organization behind ChatGPT, which is not only the generative AI entity that TechCrunch describes as a poster child but is also the platform where TechCrunch reports GPT-4 with vision will be launched, and is considered the top priority for further developments?","OpenAI",3
Q30,mh-inf-029-google,inference_query,hybrid,"Which company, recently compared for its product's performance with OpenAI's GPT-3.5 by TechCrunch, is also accused by The Age of manipulating its primary service to maximize ad revenue and is the subject of a class-action antitrust suit reported by TechCrunch for harming news publishers' bottom lines through anticompetitive practices?","Google",3
Q31,mh-inf-030-israel,inference_query,hybrid,"Which country, often featured in headlines from sources like 'Fortune', 'Globes English | Israel Business Arena', and 'Business Today | Latest Stock Market And Economy News India', has a history of controlling vital supplies into a blockaded region, reaching ceasefires with militant organizations, and requires intelligence support to prevent major attacks?","Israel",3
Q32,mh-inf-031-google,inference_query,hybrid,"Which company is depicted as an antagonist in a trial covered by The Verge, is capable of addressing Android app distribution and payment system issues according to another article from The Verge, and is accused by news publishers in a class action antitrust suit reported by TechCrunch of harming their business through anticompetitive practices?","Google",3
Q33,mh-inf-032-google,inference_query,hybrid,"Which company, reported by both TechCrunch and The Verge, has influenced the internet's appearance, engaged in practices leading to an antitrust case, and invested billions to be the default search engine on various platforms?","Google",3
Q34,mh-inf-033-openai,inference_query,hybrid,"Which company, despite facing financial stability issues according to a TechCrunch article, is expected to promote an ""app store for AI"" as a primary platform for AI tools and toys and is also planning to launch GPT-4 with vision alongside a Turbo API, as reported by TechCrunch?","OpenAI",3
Q35,mh-inf-034-google,inference_query,hybrid,"Which company is at the center of concerns from 'The Age' for manipulating search results to maximize ad revenue, from 'TechCrunch' for not planning additional measures on its video platform within six months, and is accused in another 'TechCrunch' article of anticompetitively affecting news publishers' content, readers, and advertising income?","Google",3
Q36,mh-inf-035-google,inference_query,hybrid,"Which company invested $26.3 billion to maintain its default search engine status across various devices and platforms, and is also accused by news publishers of adversely affecting their business through anticompetitive practices, while using relevance, distance, and prominence to rank local search results?","Google",3
Q37,mh-inf-036-google,inference_query,hybrid,"Which company was depicted as an antagonist by Epic Games in a legal case reported by The Verge, is considered by Apple as the only viable option for search engine services according to a court defense also covered by The Verge, and is accused in a class action antitrust suit reported by TechCrunch of harming news publishers' revenues and readership through its business practices?","Google",3
Q38,mh-inf-037-google,inference_query,hybrid,"Which company, according to TechCrunch, has invested $26.3 billion to become the default search engine on various platforms, claims its Gemini project surpasses other generative AI models like GPT-4 in architecture and performance, and is accused of using anticompetitive means to harm news publishers' revenues and readership?","Google",3
Q39,mh-inf-038-amazon,inference_query,hybrid,"What company, known for its significant presence in the e-reader space through its Kindle lineup as mentioned by The Verge, also offers life-changing selling opportunities according to Cnbc | World Business News Leader, and was the focus of a Cyber Monday sale with deals reported by Mashable?","Amazon",3
Q40,mh-inf-039-google,inference_query,hybrid,"Which company, recently covered by both TechCrunch for its annual hardware event and for a class action antitrust suit, as well as by The Age for potential unfair competitive practices, is known for its developments in hardware and is also accused of harming news publishers' bottom lines and being involved in foul play?","Google",3
Q41,mh-inf-040-google,inference_query,hybrid,"What company, which TechCrunch reports spent $26.3 billion in 2021 to ensure its search engine's default status on multiple platforms, is also the target of a class action antitrust suit for allegedly harming news publishers' bottom lines and has its Gemini Pro's performance compared to OpenAI's GPT-3.5?","Google",3
Q42,mh-inf-041-google,inference_query,hybrid,"Which company, featured in articles from both The Verge and TechCrunch, is likely to win a court case if all phones and app stores are considered the relevant market, yet is criticized for not planning additional measures on its video platform and for harming news publishers' revenue through anticompetitive practices?","Google",3
Q43,mh-inf-042-google,inference_query,hybrid,"Which company, discussed in articles from The Verge and TechCrunch, has not only altered the internet’s appearance with its efforts but is also facing criticism for its new product's performance comparison to GPT-3.5 and for harming news publishers' revenues through anticompetitive practices?","Google",3
Q44,mh-inf-043-google,inference_query,hybrid,"Which company, according to different reports by TechCrunch and The Verge, both released a restricted version of an AI model and was considered the only valid option for search engine services during a negotiation, while also being accused of harming news publishers' revenue and content through anticompetitive practices?","Google",3
Q45,mh-inf-044-google,inference_query,hybrid,"What company, as reported by TechCrunch, spent $26.3 billion in 2021 to maintain its default search engine status on multiple devices and is also accused of harming news publishers' revenue and content through anticompetitive practices?","Google",3
Q46,mh-inf-045-openai,inference_query,hybrid,"Which organization, founded in late 2015 and reported by both TechCrunch and The Age, is set to promote an ""app store for AI"" as a primary platform for AI tools and will also introduce GPT-4 with vision alongside a new Turbo API?","OpenAI",3
Q47,mh-inf-046-google,inference_query,hybrid,"Which company, reported by TechCrunch, is involved in an antitrust battle where it provided court evidence against claims of hiding discovery items, spent billions to maintain its default search engine status, and is accused of harming news publishers’ revenue through anticompetitive practices?","Google",3
Q48,mh-inf-047-google,inference_query,hybrid,"Which company, recently compared by TechCrunch for its Gemini Pro's performance to OpenAI's GPT-3.5, also uses relevance, distance, and prominence to rank local search results according to The Verge, and is accused in another TechCrunch article of anticompetitively siphoning off news publishers' content, readers, and ad revenue?","Google",3
Q49,mh-inf-048-google,inference_query,hybrid,"Which company is suggested to have altered the internet's appearance, is implicated in potential foul play by users according to a source called 'The Age', and is accused of harming news publishers' bottom lines as reported by 'TechCrunch'?","Google",3
Q50,mh-inf-049-google,inference_query,hybrid,"Which company, recently covered by TechCrunch, is involved in an antitrust lawsuit over its alleged anticompetitive practices affecting news publishers' revenues, is also battling Fortnite maker Epic Games in court over document disclosure, and has showcased its latest hardware developments at an annual event?","Google",3
Q51,mh-com-050-no,comparison_query,local,"Does 'The Independent - Life and Style' article suggest that Taylor Swift is secretive about her relationship with Travis Kelce, while the 'FOX News - Lifestyle' article indicates that she engaged with a viral TikTok video, and does the other 'The Independent - Life and Style' article claim that she has a firm commitment to her Eras Tour schedule?","no",3
Q52,mh-com-051-no,comparison_query,local,"Did the TechCrunch article indicate that Google's release of the Gemini Pro model was comprehensive and on par with the full Gemini Ultra model, while the other TechCrunch article and the article from The Age both imply misconduct on Google's part, with the former accusing Google of anticompetitive behavior towards news publishers and the latter suggesting a general acceptance of foul play allegations against Google?","no",3
Q53,mh-com-052-no,comparison_query,local,"Does 'The Verge' article suggest that Sam Bankman-Fried set withdrawal permissions based on his favorite ice cream flavor, while 'Fortune' and 'TechCrunch' articles focus on his personal actions and influence, such as persuading Adam Yedidia to join his companies and committing fraud for personal gain, without mentioning specific operational policies at FTX?","no",3
Q54,mh-com-053-no,comparison_query,local,"Does the Sporting News article rank Tyreek Hill as the top wide receiver for Week 14, aligning with his leading receiver status mentioned in the same source, while the CBSSports.com article focuses on his challenge to average a certain number of yards per game to fail to reach a seasonal goal, and the second Sporting News piece discusses the difficulty of achieving a specific receiving yards milestone due to upcoming opponents' defenses?","no",3
Q55,mh-com-054-no,comparison_query,local,"Do the articles from Sporting News on 'Line Shopping in Sports Betting' and 'Moneyline Betting' both state that Sportsbooks do not adjust odds, or does the 'NBA Rookie of the Year Odds' article from the same source also confirm that Sportsbooks do not modify betting lines based on gathered information?","no",3
Q56,mh-com-055-no,comparison_query,local,"Does the TechCrunch article discussing the SBF trial claim that Caroline Ellison took $14 billion from customers without Sam Bankman-Fried's knowledge, while another TechCrunch article alleges Sam Bankman-Fried is facing a criminal trial on seven counts of fraud and conspiracy, and a third TechCrunch piece suggests that he committed fraud for personal gain, indicating a consensus on the misuse of customer funds and fraudulent intentions among the articles?","no",3
Q57,mh-com-056-no,comparison_query,local,"Does the article from The Age confirm the same aspect of Google's market behavior as the TechCrunch articles, with one discussing the acceptance of foul play allegations and the other focusing on anticompetitive behavior towards news publishers?","no",3
Q58,mh-com-057-no,comparison_query,local,"Does the 'Fortune' article agree completely with the 'TechCrunch' article on Sam Bankman-Fried's actions, with both 'Fortune' and 'TechCrunch' focusing solely on the jury's determination of truthfulness?","no",3
Q59,mh-com-058-no,comparison_query,local,"Did 'The Guardian' describe Shai Hope's role in the West Indies v England fifth T20 international as a reckless role, while also characterizing his performance as exemplary, and does the same source depict his struggle against legspin bowling in the first T20 international?","no",3
Q60,mh-com-059-no,comparison_query,local,"Does the 'Fortune' article claim that Sam Bankman-Fried used Caroline Ellison as a front for secret access to customer funds at Alameda Research, while the 'TechCrunch' articles focus on allegations of Sam Bankman-Fried committing fraud for personal gain and facing a criminal trial for fraud and conspiracy, and also detail Caroline Ellison's involvement?","no",3
Q61,mh-com-060-no,comparison_query,local,"Did the TechCrunch article suggest that Sam Bankman-Fried's use of wealth was primarily for selfish purposes, while The Verge article implies that he was informed about financial discrepancies, and another TechCrunch article alleges that he committed fraud for personal gain, indicating differing perspectives on his intentions and awareness?","no",3
Q62,mh-com-061-no,comparison_query,local,"Does the 'Fortune' article claim that Sam Bankman-Fried used Caroline Ellison as a front for properly managing customer funds at Alameda Research align with the 'TechCrunch' article's allegation that he committed fraud for personal gain, and do both of these claims contrast with 'The Verge' article's portrayal of Sam Bankman-Fried as a trustworthy figure in the cryptocurrency industry?","no",3
Q63,mh-com-062-no,comparison_query,local,"Does the 'Fortune' article claim that Sam Bankman-Fried used Caroline Ellison as a front for secret access to customer funds at Alameda Research align with the 'The Verge' article's claim that he used $1 billion of FTX customer funds to buy out Binance, and does the 'TechCrunch' article also support the notion that Sam Bankman-Fried knowingly committed fraud, or do these articles present the same allegations regarding his actions?","no",3
Q64,mh-com-063-no,comparison_query,local,"Does the article from Fortune claim that Sam Bankman-Fried's lack of persuasive abilities led to Adam Yedidia joining Alameda and FTX, while the TechCrunch articles focus on different aspects of Sam Bankman-Fried's reputation and alleged actions, without mentioning his persuasive influence on specific individuals?","no",3
Q65,mh-com-064-no,comparison_query,local,"Does the article from The Age confirm the same public perception of Google's behavior as the TechCrunch articles' portrayal of Google's actions and their impact on the market and news publishers?","no",3
Q66,mh-com-065-no,comparison_query,local,"Does the article from The Verge claiming that Caroline Ellison confessed to the theft of customer funds differ from the Fortune article's claim that Caroline Ellison adequately protected her hedge fund from risks, or do they both suggest a form of mismanagement by Caroline Ellison during her tenure at Alameda Research?","no",3
Q67,mh-com-066-no,comparison_query,local,"Does the article from The Verge suggest that Google's influence on the internet's appearance is the same aspect of its impact as the financial influence on platforms described in the TechCrunch article about Google's spending, and is the anticompetitive behavior towards news publishers mentioned in another TechCrunch article a separate issue from these influences?","no",3
Q68,mh-com-067-no,comparison_query,local,"Does the article from The Verge claim that Google lacks the ability to resolve issues with Android app distribution and in-app payment systems, while the TechCrunch articles, one discussing Google's Gemini and the other an antitrust suit, both portray Google's actions or products in a positive light?","no",3
Q69,mh-com-068-no,comparison_query,local,"Does the TechCrunch article claim that Google's payments to secure default search engine status are unrelated to its anticompetitive behavior, while The Verge article focuses on the lack of a valid alternative to Google's search engine services, and another TechCrunch article alleges that Google's anticompetitive actions extend to harming news publishers' bottom lines?","no",3
Q70,mh-com-069-no,comparison_query,local,"Does the article from The Verge claim that Sam Bankman-Fried did not use FTX customer funds for a specific transaction, while the TechCrunch articles focus on his plea to charges and the prosecution's allegations without mentioning the use of customer funds?","no",3
Q71,mh-com-070-no,comparison_query,local,"Do the articles from The Roar | Sports Writers Blog discussing The All Blacks' actions in the Rugby World Cup final and their previous encounters with Argentina both present The All Blacks as having effortlessly dominated in their gameplay, or do they portray different situations regarding The All Blacks' performance?","no",3
Q72,mh-com-071-no,comparison_query,local,"Does the article from The Verge claim that Sam Bankman-Fried did not use FTX customer funds for a specific transaction, while the TechCrunch articles focus on the broader allegations of fraud and conspiracy against Sam Bankman-Fried without specifying the use of customer funds?","no",3
Q73,mh-com-072-no,comparison_query,local,"Does 'The Age' article suggest that Taylor Swift's interaction with Travis Kelce during her NFL takeover involves the same type of exchange as the one mentioned in 'The Independent - Life and Style' articles, with both discussing a friendship bracelet and neither mentioning an invitation to a game or openness about a personal relationship?","no",3
Q74,mh-com-073-no,comparison_query,local,"Did the TechCrunch article imply that Sam Bankman-Fried's use of wealth was primarily for personal gain, while The Verge article focuses on his challenges in managing FTX and Alameda Research, and the second TechCrunch article alleges that his actions were driven by a desire for personal gain?","no",3
Q75,mh-com-074-no,comparison_query,local,"Does the TechCrunch article suggest that Apple encourages diversity in browser selection on iPhones, while The Verge articles indicate that Apple is facing legal challenges both for its Apple Watch and for enforcing uniform terms through its store and payment system?","no",3
Q76,mh-com-075-no,comparison_query,local,"Does the article from The Verge suggest that Sam Bankman-Fried was unaware of the financial discrepancies at FTX, while the TechCrunch article alleges that he unknowingly committed fraud, and do both articles imply a lack of awareness and intent by Sam Bankman-Fried regarding the financial issues at FTX?","no",3
Q77,mh-com-076-no,comparison_query,local,"Does the Fortune article suggest that the jury will not play a role in determining the truth about Sam Bankman-Fried's actions, while the TechCrunch articles focus on past characterizations of Sam Bankman-Fried and allegations of his motives, without mentioning the jury's role in the matter?","no",3
Q78,mh-com-077-no,comparison_query,local,"Did the CBSSports.com article suggest that the Minnesota Vikings' passing play percentage in Week 4 was higher than in previous weeks, while the Sporting News articles, both regarding the Minnesota Vikings, indicate a strong defensive performance and consistent offensive results under Josh Dobbs' leadership compared to Kirk Cousins'?","no",3
Q79,mh-com-078-no,comparison_query,local,"Does the article from The Verge suggest that Apple's choice of Google as a search engine provider was due to an abundance of alternatives, while the TechCrunch articles allege that Google's practices in app distribution, payment processing, and news publishing are not anticompetitive, implying that there are no alternatives being suppressed by Google's behavior?","no",3
Q80,mh-com-079-no,comparison_query,local,"Does the TechCrunch article on Meta's GDPR compliance concerns suggest the same legal issue as the TechCrunch article on Meta's responsibility for teen social media monitoring, and does it also differ from the TechCrunch article on Meta's moderation bias affecting Palestinian voices?","no",3
Q81,mh-com-080-no,comparison_query,local,"Does the TechCrunch article suggest that Sam Bankman-Fried's use of wealth was primarily for personal gain, while The Verge article focuses on the ethicality of his financial practices, and does the second TechCrunch article imply that his actions were driven by fraudulent intentions?","no",3
Q82,mh-com-081-no,comparison_query,local,"Did 'The Verge' article suggest that Sam Bankman-Fried set withdrawal permissions based on FTX's customer satisfaction scores, while 'Fortune' and 'TechCrunch' articles focus on the jury's determination of his truthfulness and allegations of committing fraud for personal gain, respectively, without mentioning specific operational practices like withdrawal permissions?","no",3
Q83,mh-com-082-no,comparison_query,local,"Does 'The Age' article suggest that the Sydney Swans' recent loss has them challenging for a top-eight spot in the AFLW, while another 'The Age' article indicates that the same victory allowed them to retake the eighth spot in the standings, and does 'The Guardian' article focus on the Sydney Swans' efforts in enhancing the game day experience rather than their standings in the league?","no",3
Q84,mh-com-083-no,comparison_query,local,"Do the articles from CBSSports.com and both articles from Sporting News agree on the amount of the welcome bonus offered by Caesars Sportsbook to new sign-ups, with all mentioning up to $2000, or do they report different amounts?","no",3
Q85,mh-com-084-no,comparison_query,local,"Does 'The Roar | Sports Writers Blog' suggest that 'The All Blacks' motivation for playing is the same as the Springboks' as per the first article, while also indicating that 'The All Blacks' handling was compromised by external factors in the second article, and does it confirm 'The All Blacks' losses to Argentina as stated in the third article?","no",3
Q86,mh-com-085-no,comparison_query,local,"Did the article from The Verge suggest that Sam Bankman-Fried set withdrawal permissions based on his favorite color, while the Cnbc | World Business News Leader article discusses his intentions for FTX's board composition, and the TechCrunch article alleges that Sam Bankman-Fried committed fraud for personal gain, indicating different aspects of his professional conduct?","no",3
Q87,mh-com-086-no,comparison_query,local,"Does the TechCrunch article on OpenAI's dev day fail to mention the announcement of a new GPT-4 Turbo model, while the TechCrunch article on OpenAI's safety measures does not discuss any new model announcements, and does the TechCrunch article on ChatGPT confirm the availability of GPT-4 with vision alongside GPT-4 Turbo API?","no",3
Q88,mh-com-087-no,comparison_query,local,"Does 'The Verge' article suggest that Google's deals with companies like Apple are unnecessary due to a plethora of alternatives, while 'The Age' and 'TechCrunch' articles imply Google's actions are primarily driven by profit maximization and anticompetitive behavior, respectively?","no",3
Q89,mh-com-088-no,comparison_query,local,"Does the 'Fortune' article suggest the same perspective on Sam Bankman-Fried's legal situation as the 'TechCrunch' articles, with 'Fortune' focusing on the jury's determination of truthfulness and 'TechCrunch' alleging fraudulent intentions for personal gain?","no",3
Q90,mh-com-089-no,comparison_query,local,"Did the article from The Verge suggest that Sam Bankman-Fried did not use FTX customer funds for a specific transaction, while the TechCrunch articles imply that his overall wealth and alleged fraudulent activities were not directed towards different goals, such as influencing politics and achieving personal gain?","no",3
Q91,mh-com-090-no,comparison_query,local,"Does the TechCrunch article claim that Google's anticompetitive behavior benefits the app distribution and payment processing markets for Android, while The Verge article focuses on the market definition in an antitrust case involving Google, and another TechCrunch article alleges Google's anticompetitive actions impact news publishers' content, readers, and ad revenue?","no",3
Q92,mh-com-091-no,comparison_query,local,"Did 'The Verge' article suggest that Sam Bankman-Fried's effective management of FTX and Alameda Research was due to company growth, while 'Fortune' and 'TechCrunch' articles imply that Sam Bankman-Fried's management issues were related to deliberate misuse of customer funds and fraud for personal gain, respectively?","no",3
Q93,mh-com-092-no,comparison_query,local,"Did 'The Verge' article imply that Sam Bankman-Fried's effective management of FTX and Alameda Research was due to the companies' growth, while 'Fortune' focuses on his successful persuasion of Adam Yedidia to join his ventures, and 'TechCrunch' alleges that Sam Bankman-Fried committed fraud for personal gain, indicating different aspects of his leadership and actions?","no",3
Q94,mh-com-093-no,comparison_query,local,"Does the Mashable article suggest that Amazon's Cyber Monday includes only old deals, while The Sydney Morning Herald article focuses on the impact of an antitrust lawsuit on Amazon's stock price, and the Cnbc | World Business News Leader article discusses the opportunity of selling on Amazon, without mentioning any legal or promotional events?","no",3
Q95,mh-com-094-no,comparison_query,local,"Did the 'Sporting News' article stating Lionel Messi returned to play for Barcelona after an injury align with the 'Sporting News' claim that he is likely to be back for Inter Miami's match, and does the same source suggest a youth movement in Argentina's forward line involving Messi, Alvarez, and Garnacho?","no",3
Q96,mh-com-095-no,comparison_query,local,"Does the TechCrunch article suggest that Google is engaging in fair competition with news publishers, while the article from The Verge implies that Google has the capability to resolve issues, and another TechCrunch article claims that Google has no plans to implement additional measures on YouTube, indicating differing levels of responsibility or initiative attributed to Google by each source?","no",3
Q97,mh-com-096-no,comparison_query,local,"Did the 'Fortune' article suggest that Sam Bankman-Fried openly conducted all business dealings without using Caroline Ellison as a front for illicit activities involving customer funds at Alameda Research, while the 'TechCrunch' articles focus on his alleged intentions to use wealth for altruistic purposes and accusations of committing fraud for personal gain, without mentioning the use of a front person?","no",3
Q98,mh-com-097-no,comparison_query,local,"Does the 'Fortune' article suggest that the foundation of FTX's success is different from the 'TechCrunch' articles' implication that Sam Bankman-Fried's actions were based on fraudulent intentions?","no",3
Q99,mh-com-098-no,comparison_query,local,"Did the 'Fortune' article imply that Sam Bankman-Fried's handling of FTX and customer funds at Alameda Research was entirely transparent and proper, unlike the allegations of fraud for personal gain mentioned in the 'TechCrunch' article?","no",3
Q100,mh-com-099-no,comparison_query,local,"Did the article from The Verge suggest that Sam Bankman-Fried was perceived consistently in terms of trustworthiness within the cryptocurrency industry compared to the allegations of fraud and conspiracy presented in the TechCrunch articles?","no",3
Q101,mh-tem-100-no,temporal_query,hybrid,"Was there no change in the portrayal of Google's influence on the digital ecosystem between the report from The Verge on Google's impact on the internet's appearance published on November 1, 2023, and the report from TechCrunch on a class action antitrust suit against Google published later?","no",3
Q102,mh-tem-101-no,temporal_query,hybrid,"Has the advice provided by Sporting News to bettors regarding the evaluation of betting opportunities and offers involved reading requirements, going with the favored Eagles, and focusing on hype between the reports published on September 28, 2023, and December 18, 2023?","no",3
Q103,mh-tem-102-no,temporal_query,hybrid,"Was there inconsistency in Jada Pinkett Smith's statements regarding what she learned from her children after The Independent - Life and Style's report on her views on self-acceptance published at 13:41:30, and before The Independent - Life and Style's subsequent report on the same topic published at 15:48:10 on the same day?","no",3
Q104,mh-tem-103-no,temporal_query,hybrid,"Was the news about Taylor Swift's relationship with Travis Kelce inconsistent with the later report from The Independent - Life and Style on December 6, 2023?","no",3
Q105,mh-tem-104-no,temporal_query,hybrid,"Has the portrayal of Google's market practices in reports by The Age before October 22, 2023, remained consistent with the depiction in The Verge's coverage of the Epic v. Google case, and with TechCrunch's report on the class action antitrust suit filed against Google?","no",3
Q106,mh-tem-105-no,temporal_query,hybrid,"After TechCrunch reported on October 31, 2023, about Google's financial strategies to maintain its search engine dominance, and again on December 15, 2023, about a class action antitrust suit filed against Google, was there inconsistency in the portrayal of Google's competitive practices according to TechCrunch?","no",3
Q107,mh-tem-106-no,temporal_query,hybrid,"Did the 'Fortune' report on Donald Trump's real estate valuations published on September 26, 2023, disagree with 'The Age' report regarding the allegation that Donald Trump increased the value of his penthouse apartment in the matter of inflating property values?","no",3
Q108,mh-tem-107-no,temporal_query,hybrid,"Between the report by The Verge on Apple's defense of its Google Search deal published on September 26, 2023, and the report by TechCrunch on the class action antitrust suit against Google published on December 15, 2023, was there no change in the portrayal of Google's business practices with other companies?","no",3
