label,question_id,question_type,query_type,question,gold_answer,source
Q21,Novel-daac4d33,Fact Retrieval,local,"On the occasion described in Samuel Pepys's diary, who accompanied Samuel Pepys at dinner?","Samuel Pepys dined with Lady.",Novel-4128
Q22,Novel-97abee55,Fact Retrieval,local,"Which destination did Samuel Pepys go to for entertainment, as recorded in his diary account?","Samuel Pepys went to Theatre.",Novel-4128
Q23,Novel-17ae12cd,Fact Retrieval,local,"Which theatrical production did Samuel Pepys watch during his leisure time, as described in his diary?","Samuel Pepys saw Claracilla.",Novel-4128
Q24,Novel-a8ee8ba1,Fact Retrieval,local,"Where did Sir W. Pen go as described in the diary's account of the day's activities?","Sir W. Pen went to Theatre.",Novel-4128
Q25,Novel-7996c42e,Fact Retrieval,local,"During the preparations for official matters, whom did my Lord instruct, according to the diary?","My Lord ordered Mr. Creed.",Novel-4128
Q26,Novel-a8f6fa76,Fact Retrieval,local,"On the occasion described in the diary, who were the Ladies Jemimah that I, the narrator, met with during the festivities?","Ladies Jemimah met with I.",Novel-4128
Q27,Novel-0a1eb649,Fact Retrieval,local,"Who did the narrator meet with during a social occasion, as described in the diary?","Mr. Pickering met with I.",Novel-4128
Q28,Novel-bff01916,Fact Retrieval,local,"During the time chronicled in the diary, what item did Mr. Holden send, as mentioned in his interaction with Samuel Pepys?","Mr. Holden sent Bever.",Novel-4128
Q29,Novel-d44eb527,Fact Retrieval,local,"With whom did the narrator have a personal conversation, as described in the diary?","My Lady talked with I.",Novel-4128
Q30,Novel-142025a5,Fact Retrieval,local,"During the diplomatic events noted in Samuel Pepys's diary, which foreign representative took leave of the King?","Portuguese Embassador",Novel-4128
Q31,Novel-6ded047c,Fact Retrieval,local,"For which individuals did Mr. Pepys prepare a special collation, as noted in his diary record of hospitality?","Sir Williams",Novel-4128
Q32,Novel-54b3e97f,Fact Retrieval,local,"According to the diary, which individual drank with Mr. Pepys during one of his social encounters?","Mr. Starling",Novel-4128
Q33,Novel-4dc9127d,Fact Retrieval,local,"During a social occasion described in Samuel Pepys's diary, who was the companion that shared a drink with him?","Sir W. Pen",Novel-4128
Q34,Novel-9a0c1ed4,Fact Retrieval,local,"According to one entry in Samuel Pepys's diary, which individual did Pepys pay a visit to during his daily activities?","Greatorex",Novel-4128
Q35,Novel-712b02a6,Fact Retrieval,local,"Whom did my Lord issue orders to during the organizational matters described in Samuel Pepys's diary?","Mr. Creed",Novel-4128
Q36,Novel-6580dc7a,Fact Retrieval,local,"During the events described in Samuel Pepys's diary, who was the lady that dined with him, as recorded in his daily account?","The Lady",Novel-4128
Q37,Novel-38953b85,Fact Retrieval,local,"To which location did Samuel Pepys travel during the events recorded in his diary, specifically as part of his official duties?","Deptford",Novel-4128
Q38,Novel-0b0c4cf9,Fact Retrieval,local,"In the narrative of Samuel Pepys's diary, with whom was my Lord angry during the preparations for a voyage?","W. Howe",Novel-4128
Q39,Novel-eefdc433,Fact Retrieval,local,"How did the Lady treat Samuel Pepys when he visited her at the Wardrobe, as detailed in his diary account?","Kindly",Novel-4128
Q40,Novel-0cac50ed,Fact Retrieval,local,"In Samuel Pepys's diary, with whom did Pepys have a conversation during the course of his recorded events?","Tom",Novel-4128
Q41,Novel-95217448,Complex Reasoning,hybrid,"How does the King's relationship with Mrs. Palmer connect back to the Portuguese Embassador?","The Portuguese Embassador took leave of the King, who has mistress Mrs. Palmer.",Novel-4128
Q42,Novel-a0c1c9cd,Complex Reasoning,hybrid,"What evidence from the narrative indicates that members of the royal family, including the King, the Duke, the Duchess, and the Queen of Bohemia, attended the Opera?","The Opera was attended by the King, the Duke, the Duchess, and the Queen of Bohemia.",Novel-4128
Q43,Novel-4b359d87,Complex Reasoning,hybrid,"What actions, such as showing ships to Lady Jemimah and Paulina and visiting Deptford, illustrate Samuel Pepys's involvement in naval or maritime matters during his daily activities?","Samuel Pepys showed ships to Lady Jemimah and Paulina and went to Deptford.",Novel-4128
Q44,Novel-4744dfa7,Complex Reasoning,hybrid,"In what ways do Samuel Pepys's social and professional activities reflect his involvement with maritime affairs?","Samuel Pepys dined with Captain Poole and showed ships to Lady Jemimah.",Novel-4128
Q45,Novel-1fa634c8,Complex Reasoning,hybrid,"How is the Theatre’s play 'Harry the 4th' logically connected to Madame Palmer’s association with the King?","The King has mistress Madame Palmer, who was at the Theatre, which showed 'Harry the 4th'.",Novel-4128
Q46,Novel-b7e4be0e,Complex Reasoning,hybrid,"What activities described in the diary show Samuel Pepys's pursuit of learning music?","Samuel Pepys learned to sing from Mr. Goodgroome, who taught him.",Novel-4128
Q47,Novel-56cd616e,Complex Reasoning,hybrid,"What is the multi-hop reasoning that explains my Lord Embassador’s visit to Whitehall based on the Portuguese Embassador’s audience?","The Portuguese Embassador took leave of the King, who made my Lord Embassador, who went to Whitehall.",Novel-4128
Q48,Novel-ce4d7e65,Complex Reasoning,hybrid,"Which events connect the Portuguese Embassador’s leave-taking to my Lord Embassador’s visit to Trinity House?","The Portuguese Embassador took leave of the King, who made my Lord Embassador, who went to Trinity House.",Novel-4128
Q49,Novel-b2a64d4a,Complex Reasoning,hybrid,"What social engagements did Samuel Pepys participate in that demonstrate his involvement in both professional and social circles?","Samuel Pepys walked into the City with Mr. Moore, had a drink with Sir W. Pen, and sat before Mrs. Palmer.",Novel-4128
Q50,Novel-787b9c0b,Complex Reasoning,hybrid,"Why was my Lord present at Whitehall at the time when the King was adjourning Parliament, and what was the purpose of his visit to the King?","My Lord was at Whitehall to take leave of the King.",Novel-4128
Q51,Novel-68694b91,Complex Reasoning,hybrid,"During his visit to the Wardrobe, how did Lady interact with Samuel Pepys, and what was her manner toward him as described in the narrative?","Lady treated Samuel Pepys kindly at the Wardrobe.",Novel-4128
Q52,Novel-55f0c0e2,Complex Reasoning,hybrid,"What role did Aunt Katy Demitt play in Suza Fairfield's upbringing, and how is Suza Fairfield regarded in Port William?","The Duke of York sent an order to Samuel Pepys.",Novel-4128
Q53,Novel-20ad1579,Complex Reasoning,hybrid,"How does my Lord’s action of thanking Sir R. Slingsby relate to the Portuguese Embassador’s visit and his appointment as Embassador in the bringing over the Queen?","The Portuguese Embassador took leave of the King, who made my Lord Embassador in the bringing over the Queen, who then thanked Sir R. Slingsby.",Novel-4128
Q54,Novel-13557e84,Complex Reasoning,hybrid,"What significant actions and movements did 'my Lord' undertake during Samuel Pepys's diary entries?","'My Lord' was angry with W. Howe, ordered Mr. Creed, took leave of the King, went to Whitehall and Trinity House, thanked Sir R. Slingsby, and is to come back to Lisbon.",Novel-4128
Q55,Novel-c39fbc42,Complex Reasoning,hybrid,"What personal or familial difficulties did Samuel Pepys record in his diary regarding his brother Tom, as indicated by his expression of having trouble about him?","Samuel Pepys recorded considerable anxiety regarding his brother Tom, who had been left to manage their father's trade. Pepys expressed deep concern that Tom, lacking the necessary ability and diligence, might fail in this responsibility, adding to the burdens already weighing on Samuel as he struggled to settle family affairs and manage his own financial difficulties.",Novel-4128
Q56,Novel-feba1552,Contextual Summarize,hybrid,"How does the sequence of events involving my Lord's appointment as Embassador, his interactions with others, and his preparations for travel reflect the structure of command and influence in the narrative?","My Lord Embassador, after being made by the King, ordered Mr. Creed, was angry with W. Howe, and is to go to Algier, reflecting his authority and active role.",Novel-4128
Q57,Novel-710f8505,Contextual Summarize,hybrid,"What does Madame Palmer's presence at the Theatre suggest about the King's interests in both personal relationships and cultural events beyond his official royal duties?","The King's mistress, Madame Palmer, was at the Theatre where Harry the 4th was shown, suggesting the King's interests include personal relationships and cultural events.",Novel-4128
Q58,Novel-53254bcd,Contextual Summarize,hybrid,"How do my Lord's actions of expressing gratitude to Sir R. Slingsby and issuing orders to Mr. Creed demonstrate his leadership qualities and the way he exercises both appreciation and authority in his role?","By expressing heartfelt gratitude to Sir R. Slingsby for his kindness and, in the same breath, issuing clear and decisive orders to Mr. Creed, my Lord reveals a leadership style that balances genuine appreciation with firm authority. His ability to acknowledge the contributions of others while confidently directing his subordinates illustrates a nuanced command—one that inspires loyalty and respect through both warmth and decisiveness.",Novel-4128
Q59,Novel-a92f5660,Contextual Summarize,hybrid,"How does my Lord's appointment as Embassador by the King reflect the progression from diplomatic responsibilities to overseas or military planning within the narrative?","The King's appointment of my Lord as Embassador marks a significant transition from the honor of royal favor to the weighty responsibilities of international diplomacy and military oversight. Charged with bringing over the Queen, my Lord is then tasked with journeying to Algier to settle pressing affairs and organize the fleet, a clear progression from the ceremonial aspects of his role to the practical demands of overseas planning and naval preparation within the narrative.",Novel-4128
Q60,Novel-ac09bece,Contextual Summarize,hybrid,"How do ceremonial actions, such as the Portuguese Embassador and my Lord formally taking leave of the King and my Lord expressing thanks to Sir R. Slingsby, serve to structure the narrative events with a sense of ritual and formality?","Ceremonial actions such as the Portuguese Embassador and my Lord formally taking leave of the King, and my Lord expressing his gratitude to Sir R. Slingsby, imbue the narrative with a palpable sense of ritual and decorum. These moments of protocol not only mark significant transitions—such as departures and appointments—but also lend a dignified structure to the unfolding events, highlighting the importance of hierarchy, respect, and tradition in the social and political life of the time.",Novel-4128
Q61,Novel-16cc57e3,Contextual Summarize,hybrid,"In the context of the King's relationship with Madame Palmer, how do events at the Theatre demonstrate an intersection between royal relationships and cultural activities?","The presence of Madame Palmer, the King's mistress, at the performance of 'Brenoralt' at the Theatre vividly illustrates how royal relationships intersected with the cultural life of the time. Her attendance not only drew the attention of onlookers like Pepys, but also underscored how the personal affairs of the monarchy could influence and become entwined with public events and social gatherings, making the Theatre a stage not just for drama, but for the display of royal favor and intrigue.",Novel-4128
Q62,Novel-01f95b27,Contextual Summarize,hybrid,"What cultural activities involving the arts did Samuel Pepys engage in as described in his diary?","Samuel Pepys immersed himself in the vibrant cultural life of his time, attending celebrated theatrical performances such as 'The Siege of Rhodes' and 'Bartholomew Fayre.' Beyond simply being a spectator, he also sought to cultivate his own artistic abilities, engaging Mr. Goodgroome as his singing master and diligently beginning lessons in vocal music. These pursuits reflect Pepys's keen appreciation for the arts and his desire to participate in them both as an audience member and as a student.",Novel-4128
Q63,Novel-5e5e5a5f,Contextual Summarize,hybrid,"In the narrative, how are formal events—such as the King's appointment of my Lord as Embassador and my Lord thanking Sir R. Slingsby—interwoven with personal relationships, for example, the King's connection to his mistress Madame Palmer attending the Theatre?","The narrative deftly intertwines formal events—such as the King's appointment of my Lord as Embassador and my Lord's gracious thanks to Sir R. Slingsby—with the more intimate threads of personal relationships, exemplified by the King's mistress, Madame Palmer, attending the Theatre. This juxtaposition of public ceremony and private connection enriches the tapestry of daily life, revealing how matters of state and personal affections coexist and influence one another within the same social sphere.",Novel-4128
Q64,Novel-6382f43c,Contextual Summarize,hybrid,"How does the depiction of my Lord both thanking Sir R. Slingsby and displaying anger toward W. Howe contribute to the portrayal of my Lord's character as someone who balances formal gratitude with strong personal reactions?","The depiction of my Lord graciously thanking Sir R. Slingsby for his kindness, while in the same breath displaying open anger toward W. Howe for his tardiness, paints a vivid portrait of a man who deftly navigates the demands of formal courtesy yet does not shy away from expressing his genuine emotions. This balance between public decorum and private feeling enriches his character, showing him as both a figure of authority who values protocol and a man unafraid to reveal his personal frustrations.",Novel-4128
Q65,Novel-915df475,Contextual Summarize,hybrid,"Within the context of Samuel Pepys's diary entries, what were the roles and affiliations of individuals such as Roger Pepys and 'my Lord'?","Roger Pepys, Samuel's cousin, played an active role in the political sphere, as evidenced by his visits to the Parliament House, where he engaged in the affairs of government. Meanwhile, 'my Lord'—a figure of significant standing in Samuel's life—was involved in the highest circles of power, taking formal leave of the King before proceeding to Whitehall. These interactions highlight the connections and responsibilities of those around Samuel, set against the bustling backdrop of Restoration London.",Novel-4128
Q66,Novel-a96fad7e,Contextual Summarize,hybrid,"After the King's appointment of my Lord as Embassador, how do my Lord's subsequent actions illustrate the distribution of royal favor and delegation of responsibilities within the court?","Following the King's appointment of my Lord as Embassador, my Lord's actions—expressing gratitude to Sir R. Slingsby for his support and issuing orders to Mr. Creed regarding financial matters—vividly illustrate how royal favor is both acknowledged and translated into the careful delegation of duties. These gestures not only reflect the intricate web of courtly relationships but also demonstrate how responsibilities are distributed among trusted associates to ensure the smooth execution of the King's commands.",Novel-4128
Q67,Novel-bf2ee58f,Contextual Summarize,hybrid,"What does my Lord's range of activities—after being appointed Embassador by the King, such as visiting Whitehall and Trinity House and preparing to go to Algier—suggest about the scope and variety of his responsibilities in the narrative?","After being appointed Embassador by the King, my Lord’s activities—ranging from official visits to Whitehall and Trinity House to the significant undertaking of preparing for a mission to Algier—reveal the remarkable breadth and complexity of his responsibilities. He is entrusted not only with diplomatic duties, such as bringing over the Queen, but also with overseeing naval preparations and managing affairs in his absence, underscoring his pivotal role in both political and logistical spheres within the narrative.",Novel-4128
Q68,Novel-75d05962,Contextual Summarize,hybrid,"Following the King's decision to appoint my Lord, how do my Lord's subsequent actions—such as taking leave of the King, visiting Whitehall, and preparing for a journey to Algier—reveal his active and multifaceted role within the narrative?","After being appointed by the King, my Lord is portrayed as a figure in constant motion—taking formal leave of the King, making significant visits to places like Whitehall and the Wardrobe, and meticulously preparing for his journey to Algier. These actions not only highlight his sense of duty and readiness to serve, but also reveal the breadth of his responsibilities and connections. His ability to navigate both the ceremonial and practical aspects of his role underscores his active and multifaceted presence within the narrative.",Novel-4128
Q69,Novel-9c85110b,Contextual Summarize,hybrid,"In the course of his daily activities as recorded in his diary, which locations did Samuel Pepys visit?","Throughout the course of his daily activities, Samuel Pepys visited a number of significant locations, each reflecting a different facet of his bustling life. He traveled to Deptford and Woolwich, both vital naval centers, where he attended to official business and dined with colleagues, immersing himself in the affairs of the dockyards. His journeys also took him to Westminster and the grand Westminster Hall, where he mingled with acquaintances and observed the pulse of political life during Term time. These visits, meticulously recorded in his diary, offer a window into the rhythms of Restoration London and Pepys's own role within its ever-turning wheels.",Novel-4128
Q70,Novel-5fd3c02d,Contextual Summarize,hybrid,"During the period covered in the diary, what social interactions did Samuel Pepys have with individuals such as his brother Tom, Ladies Jemimah, and Mr. Moore?","During the period covered in his diary, Samuel Pepys engaged in a variety of social interactions that reveal both his personal and professional connections. He shared a meal with his brother Tom, an occasion that likely offered a rare moment of familial warmth amid his busy schedule. Later, he met with Mr. Moore, and their meeting extended into convivial drinking, suggesting a camaraderie that went beyond mere business. Additionally, Pepys enjoyed supper in the company of Ladies Jemimah, an event that would have been marked by polite conversation and the subtle navigation of social hierarchies. These interactions, scattered throughout his diary, paint a vivid picture of Pepys as a man deeply enmeshed in the social fabric of his time.",Novel-4128
Q71,Novel-c645ca2b,Contextual Summarize,hybrid,"During the months of June, July, and August 1661, what social interactions and events did Samuel Pepys participate in?","During the summer months of 1661, Samuel Pepys found himself immersed in a lively tapestry of social engagements and city life. He welcomed visits from acquaintances such as Greatorex, shared convivial meals with Lady and Captain Poole, and journeyed to Deptford, where he mingled with colleagues and observed the bustling activity of the docks. Pepys also strolled into the City with Mr. Moore, his steps echoing through the busy streets, and accompanied Dr. Peirce on various errands. His leisure hours were spent attending the Theatre, where the energy of the stage offered a welcome diversion, and walking at Graye's Inn Walk, enjoying the fresh air and the company of London's society. Each event reflected the vibrant social world Pepys navigated, blending duty and pleasure in equal measure.",Novel-4128
Q72,Novel-0d6bcca0,Creative Generation,hybrid,"Rewrite the events as a diary entry from Samuel Pepys, focusing on his preparations for the Queen and observations of court drama involving my Lord and W. Howe, including my Lord's new role.","Diary Entry — This day, my chief occupation was in making ready sundry items to be dispatched to the Queen, who is soon to be brought over to England by my Lord, now lately advanced to the dignity of Embassador by His Majesty. The court is in a state of great agitation; I observed my Lord, usually so composed, lose his temper with W. Howe, the exchange sharp and ill-concealed from those nearby. Such tempers, I think, are but a reflection of the weighty matters at hand, for the Portuguese Embassador himself came to White Hall to take leave of the King, signaling the nearness of the Queen's arrival and the delicate business that attends it. Amidst these preparations and intrigues, I find myself both anxious and eager, for the eyes of many are upon us in these days of high expectation.",Novel-4128
